     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
       179: 2022-10-18  1:30:29.9920000    2.4236  -2467041.7060      0.0000      0.0000      0.0000   
       180: 2022-10-18  1:30:59.9920000    2.4239  -2463036.9756      0.0000      0.0000      0.0000   
       181: 2022-10-18  1:31:29.9920000    2.4240  -2459023.7534      0.0000      0.0000      0.0000   
       182: 2022-10-18  1:31:59.9920000    2.4242  -2455012.8638      0.0000      0.0000      0.0000   
       183: 2022-10-18  1:32:29.9920000    2.4244  -2451000.7068      0.0000      0.0000      0.0000   
       184: 2022-10-18  1:32:59.9920000    2.4247  -2446985.4900      0.0000      0.0000      0.0000   
       185: 2022-10-18  1:33:29.9920000    2.4248  -2442966.7488      0.0000      0.0000      0.0000   
       186: 2022-10-18  1:33:59.9920000    2.4249  -2438942.6539      0.0000      0.0000      0.0000   
       187: 2022-10-18  1:34:29.9920000    2.4249  -2434907.5871      0.0000      0.0000      0.0000   
       188: 2022-10-18  1:34:59.9920000    2.4248  -2430866.6997      0.0000      0.0000      0.0000   
       189: 2022-10-18  1:35:29.9920000    2.4248  -2426817.2456      0.0000      0.0000      0.0000   
       190: 2022-10-18  1:35:59.9920000    2.4248  -2422761.8203      0.0000      0.0000      0.0000   
       191: 2022-10-18  1:36:29.9920000    2.4250  -2418704.8703      0.0000      0.0000      0.0000   
       192: 2022-10-18  1:36:59.9920000    2.4253  -2414647.5266      0.0000      0.0000      0.0000   
       193: 2022-10-18  1:37:29.9920000    2.4256  -2410589.4816      0.0000      0.0000      0.0000   
       194: 2022-10-18  1:37:59.9920000    2.4263  -2406532.0096      0.0000      0.0000      0.0000   
       195: 2022-10-18  1:38:29.9920000    2.4263  -2402462.3207      0.0000      0.0000      0.0000   
       196: 2022-10-18  1:38:59.9920000    2.4266  -2398393.3642      0.0000      0.0000      0.0000   
       197: 2022-10-18  1:39:29.9920000    2.4267  -2394322.9721      0.0000      0.0000      0.0000   
       198: 2022-10-18  1:39:59.9920000    2.4267  -2390246.6794      0.0000      0.0000      0.0000   
       199: 2022-10-18  1:40:29.9920000    2.4268  -2386167.6245      0.0000      0.0000      0.0000   
       200: 2022-10-18  1:40:59.9920000    2.4269  -2382087.3408      0.0000      0.0000      0.0000   
       201: 2022-10-18  1:41:29.9920000    2.4269  -2378004.2793      0.0000      0.0000      0.0000   
       202: 2022-10-18  1:41:59.9920000    2.4270  -2373921.8133      0.0000      0.0000      0.0000   
       203: 2022-10-18  1:42:29.9920000    2.4272  -2369832.0873      0.0000      0.0000      0.0000   
       204: 2022-10-18  1:42:59.9920000    2.4274  -2365735.9217      0.0000      0.0000      0.0000   
       205: 2022-10-18  1:43:29.9920000    2.4276  -2361632.2336      0.0000      0.0000      0.0000   
       206: 2022-10-18  1:43:59.9920000    2.4276  -2357515.4893      0.0000      0.0000      0.0000   
       207: 2022-10-18  1:44:29.9920000    2.4277  -2353388.8274      0.0000      0.0000      0.0000   
       208: 2022-10-18  1:44:59.9920000    2.4277  -2349256.7123      0.0000      0.0000      0.0000   
       209: 2022-10-18  1:45:29.9920000    2.4277  -2345113.8364      0.0000      0.0000      0.0000   
       210: 2022-10-18  1:45:59.9920000    2.4278  -2340966.9049      0.0000      0.0000      0.0000   
       211: 2022-10-18  1:46:29.9920000    2.4275  -2336809.3639      0.0000      0.0000      0.0000   
       212: 2022-10-18  1:46:59.9920000    2.4274  -2332648.9394      0.0000      0.0000      0.0000   
       213: 2022-10-18  1:47:29.9920000    2.4274  -2328488.4426      0.0000      0.0000      0.0000   
       214: 2022-10-18  1:47:59.9920000    2.4274  -2324319.5237      0.0000      0.0000      0.0000   
       215: 2022-10-18  1:48:29.9920000    2.4273  -2320152.8657      0.0000      0.0000      0.0000   
       216: 2022-10-18  1:48:59.9920000    2.4273  -2315988.4058      0.0000      0.0000      0.0000   
       217: 2022-10-18  1:49:29.9920000    2.4273  -2311817.5429      0.0000      0.0000      0.0000   
       218: 2022-10-18  1:49:59.9920000    2.4273  -2307643.3729      0.0000      0.0000      0.0000   
       219: 2022-10-18  1:50:29.9920000    2.4273  -2303464.2264      0.0000      0.0000      0.0000   
       220: 2022-10-18  1:50:59.9920000    2.4273  -2299289.7649      0.0000      0.0000      0.0000   
       221: 2022-10-18  1:51:29.9920000    2.4273  -2295113.2168      0.0000      0.0000      0.0000   
       222: 2022-10-18  1:51:59.9920000    2.4271  -2290912.8646      0.0000      0.0000      0.0000   
       223: 2022-10-18  1:52:29.9920000    2.4269  -2286704.2983      0.0000      0.0000      0.0000   
       224: 2022-10-18  1:52:59.9920000    2.4267  -2282493.4842      0.0000      0.0000      0.0000   
       225: 2022-10-18  1:53:29.9920000    2.4267  -2278287.8955      0.0000      0.0000      0.0000   
       226: 2022-10-18  1:53:59.9920000    2.4267  -2274084.8779      0.0000      0.0000      0.0000   
       227: 2022-10-18  1:54:29.9920000    2.4265  -2269880.0465      0.0000      0.0000      0.0000   
       228: 2022-10-18  1:54:59.9920000    2.4264  -2265666.6283      0.0000      0.0000      0.0000   
       229: 2022-10-18  1:55:29.9920000    2.4264  -2261449.9626      0.0000      0.0000      0.0000   
       230: 2022-10-18  1:55:59.9920000    2.4264  -2257237.4858      0.0000      0.0000      0.0000   
       231: 2022-10-18  1:56:29.9920000    2.4265  -2253016.5138      0.0000      0.0000      0.0000   
       232: 2022-10-18  1:56:59.9920000    2.4266  -2248788.2703      0.0000      0.0000      0.0000   
       233: 2022-10-18  1:57:29.9930000    2.4265  -2244560.4517      0.0000      0.0000      0.0000   
       234: 2022-10-18  1:57:59.9930000    2.4266  -2240328.0158      0.0000      0.0000      0.0000   
       235: 2022-10-18  1:58:29.9930000    2.4267  -2236081.9323      0.0000      0.0000      0.0000   
       236: 2022-10-18  1:58:59.9930000    2.4267  -2231824.8545      0.0000      0.0000      0.0000   
       237: 2022-10-18  1:59:29.9930000    2.4266  -2227563.6201      0.0000      0.0000      0.0000   
       238: 2022-10-18  1:59:59.9930000    2.4267  -2223306.8610      0.0000      0.0000      0.0000   
       239: 2022-10-18  2: 0:29.9930000    2.4266  -2219043.8396      0.0000      0.0000      0.0000   
       240: 2022-10-18  2: 0:59.9930000    2.4266  -2214771.8853      0.0000      0.0000      0.0000   
       241: 2022-10-18  2: 1:29.9930000    2.4266  -2210506.0229      0.0000      0.0000      0.0000   
       242: 2022-10-18  2: 1:59.9930000    2.4265  -2206233.8108      0.0000      0.0000      0.0000   
       243: 2022-10-18  2: 2:29.9930000    2.4265  -2201944.2187      0.0000      0.0000      0.0000   
       244: 2022-10-18  2: 2:59.9930000    2.4266  -2197657.8383      0.0000      0.0000      0.0000   
       245: 2022-10-18  2: 3:29.9930000    2.4267  -2193374.0295      0.0000      0.0000      0.0000   
       246: 2022-10-18  2: 3:59.9930000    2.4267  -2189091.7009      0.0000      0.0000      0.0000   
       247: 2022-10-18  2: 4:29.9930000    2.4267  -2184808.9188      0.0000      0.0000      0.0000   
       248: 2022-10-18  2: 4:59.9930000    2.4268  -2180523.0398      0.0000      0.0000      0.0000   
       249: 2022-10-18  2: 5:29.9930000    2.4267  -2176224.4184      0.0000      0.0000      0.0000   
       250: 2022-10-18  2: 5:59.9930000    2.4266  -2171910.6017      0.0000      0.0000      0.0000   
       251: 2022-10-18  2: 6:29.9930000    2.4266  -2167593.7209      0.0000      0.0000      0.0000   
       252: 2022-10-18  2: 6:59.9930000    2.4265  -2163280.0615      0.0000      0.0000      0.0000   
       253: 2022-10-18  2: 7:29.9930000    2.4265  -2158952.9617      0.0000      0.0000      0.0000   
       254: 2022-10-18  2: 7:59.9930000    2.4265  -2154621.9538      0.0000      0.0000      0.0000   
       255: 2022-10-18  2: 8:29.9930000    2.4264  -2150287.4921      0.0000      0.0000      0.0000   
       256: 2022-10-18  2: 8:59.9930000    2.4263  -2145952.1163      0.0000      0.0000      0.0000   
       257: 2022-10-18  2: 9:29.9930000    2.4261  -2141609.4206      0.0000      0.0000      0.0000   
       258: 2022-10-18  2: 9:59.9930000    2.4261  -2137269.9896      0.0000      0.0000      0.0000   
       259: 2022-10-18  2:10:29.9930000    2.4260  -2132927.2896      0.0000      0.0000      0.0000   
       260: 2022-10-18  2:10:59.9930000    2.4259  -2128571.6050      0.0000      0.0000      0.0000   
       261: 2022-10-18  2:11:29.9930000    2.4256  -2124210.3721      0.0000      0.0000      0.0000   
       262: 2022-10-18  2:11:59.9930000    2.4256  -2119844.0971      0.0000      0.0000      0.0000   
       263: 2022-10-18  2:12:29.9930000    2.4255  -2115468.0719      0.0000      0.0000      0.0000   
       264: 2022-10-18  2:12:59.9930000    2.4254  -2111082.8404      0.0000      0.0000      0.0000   
       265: 2022-10-18  2:13:29.9930000    2.4253  -2106697.8310      0.0000      0.0000      0.0000   
       266: 2022-10-18  2:13:59.9930000    2.4252  -2102304.0333      0.0000      0.0000      0.0000   
       267: 2022-10-18  2:14:29.9930000    2.4252  -2097899.6418      0.0000      0.0000      0.0000   
       268: 2022-10-18  2:14:59.9930000    2.4250  -2093491.3953      0.0000      0.0000      0.0000   
       269: 2022-10-18  2:15:29.9930000    2.4249  -2089078.7787      0.0000      0.0000      0.0000   
       270: 2022-10-18  2:15:59.9930000    2.4248  -2084667.9977      0.0000      0.0000      0.0000   
       271: 2022-10-18  2:16:29.9930000    2.4247  -2080251.2811      0.0000      0.0000      0.0000   
       272: 2022-10-18  2:16:59.9930000    2.4248  -2075839.4971      0.0000      0.0000      0.0000   
