     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
       100: 2022-10-22  0:50:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9577     5628262.5261     2830348.2359       0.00939356       0.00441727       0.00338724 
       101: 2022-10-22  0:51:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9569     5628262.5268     2830348.2354       0.00924967       0.00437406       0.00333983 
       102: 2022-10-22  0:51:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9528     5628262.5269     2830348.2336       0.00910948       0.00433170       0.00329349 
       103: 2022-10-22  0:52:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9498     5628262.5271     2830348.2334       0.00897284       0.00429015       0.00324818 
       104: 2022-10-22  0:52:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9498     5628262.5266     2830348.2331       0.00883962       0.00424936       0.00320385 
       105: 2022-10-22  0:53:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9509     5628262.5253     2830348.2323       0.00870971       0.00420931       0.00316049 
       106: 2022-10-22  0:53:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9526     5628262.5247     2830348.2320       0.00858298       0.00416997       0.00311806 
       107: 2022-10-22  0:54:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9544     5628262.5254     2830348.2329       0.00845932       0.00413130       0.00307652 
       108: 2022-10-22  0:54:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9552     5628262.5256     2830348.2335       0.00833862       0.00409328       0.00303586 
       109: 2022-10-22  0:55:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9559     5628262.5259     2830348.2336       0.00822078       0.00405589       0.00299604 
       110: 2022-10-22  0:55:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9556     5628262.5259     2830348.2333       0.00810569       0.00401909       0.00295704 
       111: 2022-10-22  0:56:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9526     5628262.5259     2830348.2332       0.00799326       0.00398288       0.00291883 
       112: 2022-10-22  0:56:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9502     5628262.5267     2830348.2332       0.00788340       0.00394721       0.00288139 
       113: 2022-10-22  0:57:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9489     5628262.5267     2830348.2330       0.00777605       0.00391869       0.00285133 
       114: 2022-10-22  0:57:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9487     5628262.5265     2830348.2329       0.00767107       0.00389097       0.00282204 
       115: 2022-10-22  0:58:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9500     5628262.5260     2830348.2328       0.00756838       0.00386403       0.00279349 
       116: 2022-10-22  0:58:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9519     5628262.5248     2830348.2323       0.00746793       0.00383783       0.00276566 
       117: 2022-10-22  0:59:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9531     5628262.5234     2830348.2322       0.00736963       0.00381235       0.00273852 
       118: 2022-10-22  0:59:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9551     5628262.5224     2830348.2318       0.00727343       0.00378756       0.00271205 
