     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
       128: 2022-10-21  1: 4:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9492     5628262.5338     2830348.2329       0.00657685       0.00340473       0.00246922 
       129: 2022-10-21  1: 5:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9479     5628262.5341     2830348.2328       0.00649665       0.00338643       0.00244794 
       130: 2022-10-21  1: 5:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9474     5628262.5340     2830348.2325       0.00641807       0.00336859       0.00242714 
       131: 2022-10-21  1: 6:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9467     5628262.5343     2830348.2325       0.00634106       0.00335120       0.00240682 
       132: 2022-10-21  1: 6:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9463     5628262.5349     2830348.2333       0.00626557       0.00333424       0.00238694 
       133: 2022-10-21  1: 7:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9454     5628262.5352     2830348.2337       0.00619157       0.00331769       0.00236749 
       134: 2022-10-21  1: 7:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9450     5628262.5352     2830348.2335       0.00611899       0.00330153       0.00234847 
       135: 2022-10-21  1: 8:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9453     5628262.5359     2830348.2337       0.00604781       0.00328574       0.00232984 
       136: 2022-10-21  1: 8:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9424     5628262.5372     2830348.2335       0.00597799       0.00327030       0.00231159 
       137: 2022-10-21  1: 9:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9422     5628262.5372     2830348.2327       0.00590948       0.00325521       0.00229371 
       138: 2022-10-21  1: 9:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9407     5628262.5378     2830348.2321       0.00584225       0.00324043       0.00227619 
       139: 2022-10-21  1:10:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9390     5628262.5378     2830348.2318       0.00577626       0.00322596       0.00225901 
       140: 2022-10-21  1:10:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9375     5628262.5378     2830348.2315       0.00571148       0.00321178       0.00224215 
       141: 2022-10-21  1:11:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9350     5628262.5380     2830348.2304       0.00564787       0.00319786       0.00222561 
       142: 2022-10-21  1:11:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9316     5628262.5383     2830348.2297       0.00558540       0.00318421       0.00220936 
       143: 2022-10-21  1:12:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9309     5628262.5383     2830348.2291       0.00552404       0.00317079       0.00219340 
       144: 2022-10-21  1:12:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9296     5628262.5385     2830348.2283       0.00546376       0.00315761       0.00217772 
